aaai	284:17`279:1`293:1`15:1`72:1
repeated	366:11`388:4
repeating	388:2
repetition	217:2`266:2
repetitive	217:2
replace	366:2
replaced	53:2
replacement	90:2`53:2
replacing	335:5
replay	120:2
replica	403:2
replicate	416:2`5:2
replication	89:2
replicator	400:2`403:2
replied	13:2
report	117:18`403:15`51:12`15:2`418:2`426:2`443:2`112:1`39:1`208:1
reported	117:2`102:2
reporter	70:2
reporters	117:2
reporting	213:4`251:2
repositories	400:2`403:2
repository	252:3`213:3`419:3`401:3`95:1`121:1`83:1`403:1
represent	431:3`49:1`67:1`117:1`146:1`92:1`266:1`256:1`335:1`85:1
representation	204:3`278:3`302:3`194:3`162:1`245:1`305:1`208:1`335:1
representations	335:6`431:2`169:2
representative	135:1`78:1`133:1`137:1`281:1`191:1`310:1`190:1`193:1`118:1
representatives	408:1`1:1`115:1`109:1`4:1`178:1`257:1`142:1`335:1
represented	49:1`78:1`419:1`267:1`142:1
representing	88:3`167:3`335:3`2:1`181:1`139:1`399:1`413:1`142:1
represents	66:1`419:1`217:1`373:1`360:1`335:1
reproducibility	403:2
reproducible	310:2
republican	206:2
repudiare	255:2
repurposed	257:2
repurposing	208:2
reputable	48:2
reputation	139:2
reqs	431:2
request	388:8`400:3`97:1`250:1`318:1`296:1`168:1
requested	391:1`251:1`200:1`124:1`394:1`179:1`383:1`384:1`381:1`382:1
requests	117:2`250:2`208:2
require	96:3`415:1`111:1`305:1`413:1
required	12:3`217:2`20:2`340:2`117:1`59:1`77:1`112:1`17:1`159:1
requirement	7:2`305:2
requirements	431:30`336:27`403:11`363:5`181:3`53:3`370:2`156:2`397:2`104:2
requires	96:5`415:3`114:1`389:1`182:1`53:1`168:1
requiring	396:2`17:2`257:2`53:2
reroute	82:2
rescheduled	81:2`321:2
rescheduling	38:2
rescue	121:2
resear	46:2
researched	95:2`142:2
researcher	169:5`17:4`271:2`299:2`139:1`281:1`18:1`16:1`310:1`13:1
researchers	115:5`373:4`116:3`302:3`406:3`44:3`114:2`118:2`7:2`8:2
researches	21:2`254:2`255:2
researching	17:2`22:2`257:2`334:2
resected	148:2
resemble	359:2
resendiz	361:5
reservation	403:4`32:2`218:2`206:2
reserve	49:3`63:3`206:3`235:3`426:1`252:1`174:1`443:1`195:1`12:1
reserved	318:4`432:2
resetting	28:2
reshape	260:2`51:2`11:2
reshaping	11:5
reside	318:2`256:2
resided	318:2
residence	318:3`39:3`79:1`2:1`128:1`359:1`159:1`399:1`73:1
residency	215:2`214:2
resident	67:2`66:2`259:2
residential	100:11`261:5`109:3`94:2`80:2`79:1`128:1`136:1`324:1`312:1
residents	62:2`259:2`206:2
residual	193:2
resilience	89:2
resiliency	125:2
resilient	409:4`16:4`144:2`308:2
resistance	213:2
resolution	400:3`284:3`133:1`415:1`431:1`341:1`403:1`296:1`243:1`254:1
resolvers	133:2`284:2
resolving	431:2`403:2`191:2
resort	55:2
resource	208:4`403:4`250:2`160:2`260:1`215:1`214:1`373:1`284:1`161:1
resourceful	97:2
resources	12:4`249:4`306:4`327:2`167:2`116:1`262:1`117:1`158:1`418:1
respect	109:2`217:2`12:2
respected	260:8`435:3`303:3`311:3`422:3`261:1`259:1`14:1
respective	98:1`428:1`178:1`81:1`334:1`119:1
respectively	50:9`145:1`138:1`92:1`254:1`74:1
respiration	254:3`145:1`113:1`403:1`208:1
respond	116:2`409:2`286:2
responded	110:2
responders	121:6`252:2`400:2
responding	95:3`116:1`48:1`121:1`31:1
response	125:2`116:2`250:2`121:2`67:1`263:1`117:1`296:1`373:1`28:1
responses	409:2`121:2`91:2
responsibilities	429:1`215:1`139:1`214:1`91:1`397:1`270:1
responsibility	418:1`416:1`429:1`287:1`431:1`93:1`65:1`397:1`120:1`104:1
responsible	262:1`202:1`97:1`363:1`252:1`183:1`93:1`213:1`245:1`83:1
responsibly	431:2
rest	49:1`318:1`30:1`51:1`86:1`156:1`87:1
restaurants	413:4`77:2`70:2
restful	401:2`403:2
restore	8:2
restrictions	168:2
result	164:2`67:1`97:1`93:1`139:1`113:1`91:1`293:1`26:1`168:1
resulted	13:3`335:3`289:1`434:1`297:1`299:1`329:1`213:1`340:1`421:1
resulting	67:1`215:1`214:1`51:1`257:1
results	340:6`217:6`431:4`53:3`213:2`338:1`139:1`16:1`418:1`95:1
resume	247:3`20:1`408:1`428:1`112:1`407:1`46:1`178:1`61:1
resumes	428:2`46:2
retail	263:2`142:2
retaining	80:2
retaking	366:2
retention	262:2`120:2
retina	254:9`84:7
retinal	254:16`84:4
retinopathy	254:5
retired	142:7`53:2
retirement	63:2
retreat	15:18`434:5`329:5`285:5`311:5`64:1`16:1`14:1`282:1
retrieval	403:7`208:4`186:2`373:2`191:2`21:1`433:1`204:1`128:1`7:1
retrieve	263:2`217:2
retrieved	217:2
retriever	208:2
retrieving	217:2
retro	403:2
retrofitting	71:2
retrospective	82:2
return	117:5`213:1`383:1`179:1`384:1`381:1`382:1`380:1`389:1`415:1
returned	49:2`428:2`269:2`104:2
returning	415:2`183:2`120:2
returns	117:6`3:2`327:2
reu	73:39`403:2
reuben	30:2
reusable	431:4`403:2
reuse	308:9`336:4`144:1`440:1`304:1`111:1`306:1`257:1`307:1`236:1
reused	308:7
reuses	287:2
reusing	111:2
reveal	217:5
reveals	146:6`409:3`145:1`147:1`301:1`332:1`188:1`439:1`424:1
revenue	389:4`93:2`270:2
reversal	403:2
reversals	403:4`238:2
reverse	1:3`408:1`287:1`186:1`91:1`51:1`403:1
reversing	51:9`426:1`443:1`52:1`50:1
review	117:5`97:5`197:3`431:3`204:3`36:2`203:2`372:2`113:1`56:1
reviewed	254:5`153:2`204:1`215:1`213:1`200:1`201:1`214:1`219:1`293:1
reviewer	167:4`417:2
reviewers	293:4`203:2`197:2
reviewing	197:4`199:3`204:3`198:2`201:2`211:1`212:1`210:1`215:1`216:1
reviews	98:2`118:2`155:2
revise	431:2
revisions	200:2
revisited	153:2
revitalization	260:2
revival	45:2
revolution	260:3`49:1`215:1`93:1`214:1`269:1`87:1
revolutionize	262:2`260:2
revolutionized	286:2
revolutionizing	164:7`180:1`163:1`410:1`438:1
revolve	37:2
revtech	270:5
reward	409:2`270:2`268:2
rewarded	419:2
rewarding	182:1`77:1`5:1`419:1`104:1`120:1
rewards	97:5
rewind	17:2
rewrite	85:2
reyaz	127:10
rez	84:4`254:2
rfid	204:2`194:2`403:2
rfsw	84:2
rheinische	235:2
rhetorical	49:2
rhonda	361:4`91:2`14:2
ricardo	403:2`295:2
riccardo	195:2
rice	49:2`92:2`26:2
rich	66:3`98:1`418:1`67:1`288:1`146:1`110:1`397:1`63:1`101:1
richard	280:8`275:8`403:7`362:5`281:2`310:2`274:2`365:2`364:2`279:2
richardson	58:3`427:2`206:1`30:1`70:1`264:1`338:0`339:0`35:0`36:0
richer	7:2`11:2
richied	69:5
rick	130:7
ricky	122:2
rico	295:2
rid	117:2
ride	15:2
ridhwaan	141:2
riding	42:2`442:2`425:2
rife	11:2
rift	341:12`442:4`333:4`320:2
right	288:3`333:2`336:2`11:2`418:2`96:2`116:1`117:1`115:1`77:1
rightin	17:2
rights	116:2`389:2`74:2
rigid	286:2`403:2
rigor	428:2
rigorous	431:3`98:1`305:1`104:1`99:1`236:1`50:1`335:1
rigorously	284:2
rim	445:2`428:2
rina	338:2
ringing	40:2
rings	436:1`357:1`358:1`323:1`330:1`326:1`344:1`290:1`422:1`87:1
rink	191:10
rio	91:5
rios	91:5
rip	431:2
ripe	11:2
ripon	227:2
ripple	256:5
rise	215:2`214:2
rising	24:6`435:1`289:1`357:1`299:1`329:1`23:1`421:1`15:1`236:1
risk	146:4`182:4`403:4`208:3`117:2`431:2`28:2`256:2`116:1`139:1
risks	10:1`115:1`146:1`182:1`297:1`90:1`307:1
ritchey	91:2
rittika	218:3`196:3`206:3`113:1`403:1
rivaling	133:2`284:2
river	206:2
rivera	322:7
rizvi	403:2
road	444:3`418:1`427:1`66:1`389:1
roadblocks	293:2`9:2`104:2
robbing	302:2
robert	297:4`403:4`286:3`115:3`195:3`408:1`302:1`407:1`8:1`208:1
roberto	295:2
roberts	191:9`195:2
robin	122:4`56:4`286:2
robocode	256:2
robot	256:8`141:8`17:4`162:1`122:1`149:1`317:1`87:1`100:1`208:1
robotart	60:2
robotic	60:10`162:5`115:2`314:2`324:2`352:2`441:2`141:2`59:1`159:1
robotics	162:13`415:5`254:3`169:2`403:2`60:2`84:2`48:1`204:1`45:1
robots	317:6`94:4`162:3`60:3`100:3`352:1`115:1`441:1`122:1`316:1
robust	405:1`83:1`65:1`403:1`373:1`16:1`26:1`208:1
robustness	287:2`431:2
rocket	77:2`27:2
rockwall	434:3`329:3`15:3`285:3`311:3
rockwell	161:2`10:2`428:2`141:2
rod	83:6`10:4`327:2`54:2
rodrigues	115:5
roesch	123:2
rogramming	88:2
rogue	76:2
rohit	403:2
roi	43:8`352:1`42:1`44:1`442:1`325:1`425:1
rolando	30:2
role	208:3`13:2`21:2`416:2`430:2`293:2`76:2`116:1`215:1`113:1
roles	262:1`215:1`431:1`214:1`64:1`208:1`75:1
roll	44:9`43:1`45:1`442:1`425:1
rolled	117:2
rollers	270:2
rom	431:5
roman	284:2
romania	186:4`166:2
rome	21:2`74:2
ron	129:10`128:3`252:3`130:3`362:3`121:1`405:1`373:1
ronald	208:2
ronaldo	178:2
ronan	66:2
rong	403:4`195:2
roo	416:2
roof	427:2
room	416:9`254:4`318:3`17:3`92:2`97:1`327:1`270:1`290:1`206:1
roommates	70:2
rooms	327:3`109:3`270:1`159:1`206:1
root	67:4`306:2`103:2
rooted	116:2
roozbeh	46:1`443:1`245:1`195:1`425:1
ros	162:5
rosa	361:5
rose	416:2`341:2
rosemary	297:2
ross	195:2`206:2`75:2
rotary	183:2
rothermel	227:5
rouge	92:2
roughly	27:2
round	92:16`142:2
rounded	103:2
rounds	92:2
route	418:2`82:2`403:2`27:2
router	165:2
routers	95:2`226:2`406:2`373:2
routes	165:2
routine	162:1`301:1`331:1`254:1`337:1`208:1`348:1`351:1`438:1
routines	337:2
routing	403:17`431:8`296:5`180:3`306:3`152:1`229:1
row	336:4`268:2
rows	146:2
roy	440:2`304:2`307:2
royal	23:17`435:3`329:3`421:3`345:3`171:1`22:1`24:1
rpi	168:2
rrfeng	277:2`362:2
rsa	403:2
rsvp	178:2
rtcsa	184:2
rtss	184:10
rubbed	162:2
rubber	66:2
rubbing	70:2
rui	31:4`403:4`185:2
ruizhi	403:2
rule	403:4`208:4`206:2
rules	95:1`279:1`369:1`92:1`305:1`217:1`284:1`208:1
run	3:1`53:1`338:0`339:0`35:0`36:0`159:0`33:0`158:0`34:0
rung	57:5
rungta	227:2
running	117:3`415:3`95:3`337:3`3:1`203:1`441:1`110:1`258:1`410:1
runs	337:4`400:2`307:2
runtime	403:2
ruozzi	244:19`284:7`109:3`243:3`295:3`362:3`145:1
rup	403:2
rural	260:2
rush	67:2
russell	56:5
russia	67:5
russian	67:2
russians	289:1`301:1`332:1`439:1`76:1
rust	79:2
rutgers	195:2
ryan	403:9`310:6`147:6`17:5`110:2`84:2`186:2`115:1`341:1`275:1
ryazanov	161:2`81:2
rym	403:11`107:8`108:3`106:3`101:3`109:1`104:1`15:1`362:1
rymcmaha	341:4`310:2`362:2
rymw	107:2`362:2
ryu	151:2`403:2
ryzhov	278:7
saarland	190:5
sabbatical	416:5
saberi	144:2
sabre	428:5
sabur	403:2
sacchi	195:5
sachin	81:4`264:4
sacmat	13:2
sacrifices	90:2
sacrificing	96:2`32:2
sacs	431:5
sacscoc	431:5
saeedloei	403:7`282:2
safe	146:5`403:3`139:1`341:1`192:1
safely	257:2`308:2
safer	409:4`89:2
safety	73:6`403:5`139:2`62:2`132:1`204:1`115:1`215:1`138:1`149:1
safwan	192:2
sagar	297:2
sages	23:2
saha	227:2
sahle	361:5
sahs	135:2`144:2
sahu	403:5
sai	109:2`403:2
said	117:20`142:10`66:8`162:7`67:6`73:6`63:6`116:5`28:5`263:5
saidul	400:2
saikiran	138:5
saint	232:2
sajib	400:2
saket	403:10
sakharova	403:7
salads	90:2
salaries	36:8`418:2`43:2`56:2
salary	418:2`389:2`63:2
sale	29:4`147:2
sales	263:5
salient	254:2
salim	403:2
salisbury	322:5
sally	278:2`195:2
salsa	100:2
salutatorians	64:2
sam	260:15`435:3`303:3`336:3`422:3`311:3`261:1`259:1
sammon	28:5
sample	369:4`265:4`403:2
sampled	160:2`403:2
samplesearch	400:5
sampling	403:6`279:4`400:2`155:2
samsung	110:24`256:24`328:6`292:6`331:3`437:3`296:3`291:3`351:3`353:3
samuel	69:4`317:2`89:2
san	144:4`49:2`138:2`91:2`55:2`189:2`432:2`67:1`66:1`135:1
sanchis	403:2
sanctus	255:5
sand	67:2`58:2`403:2`284:2
sanda	191:13`21:8`20:3`190:2`362:2`192:2`435:2`289:2`349:2`329:2
sandberg	120:7
sanders	78:2
sandhu	403:2
sandia	63:5
sandisk	120:2
sandra	112:2`191:2
sangjin	403:2
santa	243:3`226:1`173:1`64:1`39:1
santander	428:2
santi	128:2
sanya	322:5
sara	302:2`24:2
sarac	63:15`243:13`403:11`55:6`112:2`91:2`183:2`244:2`103:2`242:2
sarfraz	227:5
sariel	84:2
sarkel	442:2`304:2`305:2
sarkhel	284:5`338:3`279:3`305:3`99:3
sastry	125:2
sat	50:8`432:4`49:3`98:3`64:3`96:1`407:1`430:1`414:1`412:1
satellite	121:2`403:2
sathya	403:2
sathyavageeswaran	178:2
satisfaction	427:2`155:2`282:2
satisfied	117:2`279:2`258:2
satisfy	95:2`306:2`336:2
satisfying	155:2
satishbabu	297:2
saturday	440:4`314:3`313:3`352:3`178:2`344:2`254:2`79:1`58:1`318:1
saturdays	441:1`65:1`324:1`104:1`33:1`425:1
satyajit	297:2`322:2
satyen	403:2
saurav	95:2
sauver	118:2
savannah	278:4`436:1`357:1`358:1`323:1`330:1`344:1`326:1`290:1`87:1
save	17:4`416:2`93:2
saved	24:2`61:2
saving	252:2`121:2`208:2`141:2
savings	262:2`416:2`257:2`53:2
savoie	403:5
savviness	262:2
savvy	70:9`263:1`352:1`69:1`440:1`71:1
saw	98:1`263:1`66:1`162:1`15:1`14:1
sawan	113:2
sawant	403:2
say	419:4`85:4`67:2`97:2`101:2`263:1`117:1`96:1`302:1`36:1
sayali	297:2
saying	9:3`122:2`16:2`14:2`264:2`117:1`260:1`145:1`261:1`123:1
says	18:5`13:5`66:2`413:2`117:1`148:1`164:1`441:1`62:1`103:1
scalability	403:4`305:2
scalable	305:5`296:5`403:5`279:1`400:1`284:1`413:1
scale	403:3`215:2`214:2`11:2`67:2`305:2`116:1`135:1`117:1`115:1
scaled	249:2
scales	403:2
scaling	249:11`95:5`431:1`279:1`51:1
scan	415:2`254:2`84:2
scandinavia	193:2
scanned	334:2
scanners	334:2`141:2
scans	117:2
scarce	178:2`284:2
scavenger	100:4`159:2
scenario	203:5`138:1`110:1`17:1`27:1`208:1`256:1
scenarios	431:4`116:2`245:2`403:2
scene	245:2
scenes	85:2
scents	341:2
sch	208:6`216:2`64:2`218:2
schedulability	431:2
schedule	208:2`98:1`36:1`34:1`322:1`365:1`364:1`363:1`5:1`419:1
scheduled	200:2`81:2
scheduler	431:2
schedules	431:2`70:2`403:2`247:2
scheduling	431:4`403:4`184:3`83:3`190:3`152:1`180:1`126:1`10:1`252:1
schema	135:2
schemas	208:2
scheme	403:22`170:2`67:2`47:2
schemes	403:10`67:2`431:2
schlumberger	215:4`214:4`113:2`218:2
schneider	89:21`436:3`300:3`303:3`312:3`330:3`350:3`93:1`90:1`88:1
schnitker	30:5
scholar	142:6`61:5`267:2`117:1`301:1`313:1`346:1`351:1`348:1`352:1
scholarly	139:2
scholars	98:20`64:19`99:7`324:3`410:2`123:2`352:2`441:2`425:2`111:1
scholarshi	63:2
scholarship	63:10`119:8`183:7`387:5`246:5`120:5`363:5`287:3`180:3`437:2
scholarships	393:5`390:4`392:4`180:4`389:4`363:4`183:4`387:4`120:4`99:4
scholastic	50:5
schooled	162:2
schools	50:3`39:2`26:2`2:2`51:2`399:2`77:1`431:1`263:0`261:0
schoolwork	263:2
schram	30:2
schutz	30:4`122:2
schwab	67:2
schwartz	70:2
schwarz	87:2
schwarzkopf	115:2
schweitzer	242:8`241:3`243:3`403:3`284:3`362:1`84:1`255:1
sci	153:2`229:2`193:2
sciences	57:6`142:6`13:5`266:5`215:3`214:3`38:3`213:2`195:2`178:2
scientific	293:2`13:2`284:2`98:1`146:1`339:1`115:1`111:1`23:1`337:1
scientist	267:5`111:3`85:3`215:2`214:2`268:2`283:1`435:1`84:1`25:1
scientists	116:3`149:3`346:2`332:1`330:1`284:1`283:1`16:1`13:1`417:1
sclerosis	142:4`302:2`208:2
scoggins	160:2
scope	201:3`219:3`202:1`203:1`199:1`200:1`168:1
scoping	431:2
score	50:7`96:5`363:5`49:1`64:1
scoreboards	92:2
scored	58:2`4:2`50:2
scores	50:10`363:5`98:3`426:1`96:1`430:1`443:1`64:1
scoring	96:7
scotland	191:2
scott	215:6`214:6`67:3`91:3`66:1`30:1`297:1`113:1`104:1`218:1
scottsdale	202:2`113:2`196:2
scouring	415:2
scrambled	44:2
scrambles	263:2
scratch	94:4`317:4`316:2`256:2
scratchwork	161:2
screen	336:4`431:2`317:2`17:2
screening	28:7`213:2
screenshot	24:2
scribbler	316:2`317:2
script	256:2
scripting	431:4`92:4`256:2
scriptorem	255:2
scrum	155:4`95:2
scs	278:5
scsi	278:2
sculptures	60:2
sdb	401:2
sdm	215:7`214:7
sdn	82:7`306:2
sdps	13:4`236:4
sea	255:9`415:2
seamon	125:2
sean	30:2
searchable	188:2
searches	415:5`431:5`116:1`428:1`441:1`410:1
searching	112:2`61:2`84:2
sears	93:5
seasoned	428:2
seat	432:2
seats	432:7`147:2
seattle	66:4`87:2
sebastian	192:2
sec	338:5
sechen	286:2
second	104:3`116:2`438:2`271:2`71:2`178:2`97:2`351:2`353:2`355:2
secondary	50:11`167:3`49:1`426:1`78:1`127:1`261:1`443:1`51:1
seconds	335:4`338:2
secret	287:4`307:4`409:2`257:2
secretary	139:2`340:2`265:2
secretly	67:5
section	139:5`388:3`340:3`389:1`213:1`218:1`84:1
sections	445:2`148:2`15:2
sector	164:2`257:2
sectors	52:2`102:2
secure	403:13`13:7`236:6`287:5`117:2`103:2`252:2`296:2`373:2`409:2
securecomm	118:10
secured	327:2`92:2`90:2`257:2
securely	23:2
securing	183:4`403:4`3:2
security	287:14`13:11`14:6`91:6`403:5`117:5`28:4`103:4`183:4`236:4
sed	255:15
sedlmair	195:2
sedm	127:2
seed	80:4`12:2
seeds	260:2
seeing	164:3`117:1`77:1`183:1`258:1`11:1
seek	418:1`95:1`31:1`65:1`14:1`322:1
seeking	388:3`204:1`146:1`363:1`42:1`200:1`442:1`370:1`194:1`425:1
seeks	334:6`111:5`144:1`114:1`300:1`112:1`110:1`323:1`333:1`331:1
seekut	418:2`389:2
seeligson	64:2
seemingly	17:2
seen	349:1`49:1`96:1`93:1`329:1`323:1`341:1`11:1`409:1`1:1
seers	186:2`400:2
sees	66:9`67:1`441:1`65:1`425:1
segmentation	254:4`84:4`403:2
segments	215:3`214:3`113:1`400:1`218:1`208:1
seguin	418:6`410:2`439:2
sei	431:4`195:2`155:2
seida	403:11`9:2
seigler	261:2
seized	162:1`301:1`331:1`351:1`438:1`348:1
sekiya	189:7
seldom	419:2
select	431:3`217:2`435:2`436:2`434:2`440:2`441:2`442:2`443:2`439:2
selectable	256:2
selected	403:8`138:4`64:4`92:4`118:2`155:2`363:2`387:2`324:2`352:2
selecting	139:2`257:2
selection	403:5`98:2`284:2`256:2`202:1`94:1`139:1`110:1`189:1`208:1
selective	111:2`71:2`284:2`28:2
self	403:7`95:2`206:2`184:2`142:2`263:1`132:1`302:1`57:1`337:1
selfish	403:2
sellen	195:2
selling	416:2
sells	142:14`263:2
selvaraj	318:2
semantic	403:11`401:5`111:4`208:4`144:2`135:2`287:2`116:1`204:1`96:1
semantically	217:4`400:2`208:2
semantics	169:2`167:2`21:2`431:2`403:2`135:1`111:1`305:1`217:1`373:1
semanticweb	400:2
sematic	403:2
semester	83:5`21:4`363:4`388:3`168:2`366:2`97:2`327:2`110:1`330:1
semesters	247:3`20:1`97:1`79:1`95:1`363:1`387:1`4:1
semi	403:6`264:2`300:1`115:1`304:1`312:1`343:1`331:1`326:1`290:1
semiconductor	286:2`142:2
semifinalists	50:2
seminal	13:2`236:2
seminar	363:4`327:2
seminars	316:6`64:2`14:2`12:2
seminary	275:5
semper	241:8`239:3`10:3`242:3`59:1`81:1`362:1
sen	403:2
senate	340:2
send	92:6`117:4`4:2`82:2
sending	334:2
sends	258:2
senior	362:14`142:4`30:3`13:3`12:3`10:3`286:1`161:1`109:1`329:1
seniors	83:5`50:4`312:2`313:2`436:2`438:2`301:2`323:2`343:2`25:2
sensations	114:2`341:2
sense	109:7`114:2`85:2`66:1`79:1`96:1`122:1`317:1`14:1`208:1
senses	167:2
sensing	118:9`162:1`258:1`208:1`334:1
sensitive	117:3`40:3`44:1`227:1`400:1`307:1
sensitivity	278:2
sensor	403:17`118:7`208:4`293:2`190:2`340:2`204:1`194:1`189:1`373:1
sensors	245:3`120:3`352:1`204:1`302:1`441:1`314:1`17:1`194:1`324:1
sensory	115:4`405:4`149:2`141:2
sent	162:1`252:1`363:1`123:1`55:1`218:1`334:1
sentence	185:2`31:2`284:2
sentiment	164:2`31:2
seoul	49:2
sep	331:8`423:8`437:8`323:6`351:5`291:5`353:5`355:5`440:5`300:3
separate	363:1`115:1`58:1`297:1`109:1`149:1`92:1`82:1`178:1`86:1
separated	92:2`51:2
separately	363:2`387:2`92:2
sept	244:2`193:2
september	109:9`212:4`218:3`110:2`158:2`435:2`436:2`434:2`439:2`437:2
sequence	431:4`122:4`81:2
sequences	431:2`208:2
sequential	431:13`95:2`238:2
serg	118:2
sergey	131:7`403:6`84:6`20:4`132:3`130:3`112:1`109:1`293:1`254:1
serial	260:4`57:2
series	303:11`268:8`288:7`21:7`289:6`436:6`271:6`311:6`269:6`332:5
seriously	49:2`263:2`145:2`63:2
servants	67:2
serve	293:2`373:2`183:2`63:2`139:1`206:1`118:1`10:1`405:1`109:1
served	10:5`260:4`213:3`267:3`75:3`215:2`139:2`214:2`118:2`19:1
server	91:4`251:3`432:3`40:3`67:1`263:1`250:1`117:1`431:1`123:1
servers	250:3`117:3`263:1`44:1`442:1`40:1`296:1`425:1
serves	113:2`204:1`302:1`215:1`213:1`214:1`293:1`373:1`13:1`322:1
service	403:7`183:5`63:4`287:3`263:3`79:2`387:2`243:2`307:2`373:2
services	363:8`97:6`403:4`53:4`373:3`213:2`111:2`361:2`12:2`360:2
serving	79:1`252:1`200:1`82:1`254:1`27:1
seshu	57:2
session	208:10`409:2`419:2`408:1`7:1`118:1`97:1`261:1`338:0`339:0
sessions	97:4`118:3`87:2`92:2`372:2`7:2`261:1`219:1`330:1`15:1
set	217:8`431:6`336:3`138:2`319:2`282:2`20:2`250:2`69:2`146:2
sethi	403:2
sets	431:4`153:1`69:1`338:1`145:1`252:1`319:1`4:1`217:1`16:1
setting	139:3`257:3`202:1`67:1`97:1`431:1`405:1`373:1`81:1`140:1
settings	208:3`20:1`117:1`112:1`199:1`46:1
settle	109:2
settled	109:2`88:2
setup	53:2
sevcan	403:2
seven	120:6`330:2`312:2`289:2`437:2`246:2`67:2`300:2`92:2`47:2
seventeen	94:1`358:1`323:1`312:1`326:1`331:1`423:1`437:1`291:1
seventeenth	151:2
seventh	300:1`121:1`213:1`312:1`330:1`290:1`309:1`422:1`437:1
severe	49:2
sexier	66:2
sfs	183:28`287:8`91:3`363:1`387:1`406:1`373:1`63:1`61:1
sha	17:2`334:2
shacklett	270:10`436:2`410:2`422:2
shaders	256:5
shaer	243:2
shah	145:4`306:2`9:2
shahar	195:2
shailesh	93:9`436:3`299:3`303:3`422:3`89:1
shameful	117:2
shamsuddin	218:3`196:3`206:3`113:1`403:1
shana	153:2
shanghai	401:2
shankar	260:2
shanthi	296:2`196:2
shanthy	403:7
shaofei	403:2
shaon	92:8`440:2`304:2`307:2
shape	327:8`254:4`84:4`48:1`286:1`441:1`326:1`334:1`142:1`11:1
shaped	6:2`56:2
shapes	335:6`213:2`403:2`254:2
shaping	413:2`75:2
shapouri	91:2
sharad	403:5
shard	58:2
share	182:2`359:2`112:1`215:1`113:1`214:1`16:1`418:1`245:1`105:1
shared	97:1`300:1`146:1`318:1`215:1`122:1`214:1`317:1`90:1`343:1
shares	288:2
sharif	31:2
sharing	403:12`146:5`208:2`287:2`182:2`109:2`53:2`204:1`178:1`194:1
shark	90:5
sharks	90:2
sharma	20:3`164:1`293:1`120:1`265:1`100:1
sharpened	352:2`440:2`61:2
shashi	403:5
shashikant	137:2
shastri	138:2
shaun	403:5
shaurya	9:7
shayan	30:2
shazad	161:2
shedding	118:2
sheetal	403:2
shekhar	403:4`135:2
shell	431:4`144:2
shen	403:2
shepherd	191:2
sherrill	70:2
sherry	270:6`436:2`410:2`422:2
sheryl	120:5
sheth	100:2
shett	30:2
shi	403:5
shield	100:2
shielded	128:2`340:2
shields	239:9`240:3`109:3`241:3`362:1
shift	17:4`403:4`66:2`431:2
shifters	431:2
shimane	196:2
shiney	403:2
shingled	403:2`192:2
shinn	297:2
ship	270:2
shipping	444:2
shirish	403:2
shirol	403:2
shirt	141:4`100:2
shirts	141:4`318:2`159:2
shiva	20:4`293:2`120:2`100:2
shoaib	403:2
shocked	117:2
shoe	10:2
shoes	208:2`29:2
shooter	256:13
shooting	94:2
shop	286:2`114:2`327:2
shoppers	206:2`142:2
shopping	206:6`93:2`123:2
short	204:3`198:3`199:3`145:2`205:2`208:2`254:2`78:1`138:1`327:1
shortage	14:2
shortages	49:2`117:2
shorter	335:2
shortest	262:2`431:2
shortly	164:2
shorts	159:2
shot	149:2`76:2
shouhuai	403:2
shoulder	418:2
shoulders	54:2
shout	416:2
showcase	203:1`408:1`1:1`105:1`118:1
showcased	213:2
showcases	142:2
showcasing	206:2
showed	114:2`245:2`99:2`27:2
showing	408:1`363:1`293:1`120:1`99:1`74:1
shown	49:1`96:1`182:1`91:1`36:1`71:1`308:1`414:1`412:1
shows	337:5`49:1`77:1`419:1`268:1`37:1
shriberg	302:2
shrinath	109:2
shroud	111:6`144:1`300:1`112:1`110:1`323:1`331:1`236:1`423:1`346:1
shs	30:10
shtml	338:2`50:2
shuai	403:2
shudders	256:2
shuffle	122:2
shukla	69:5
shull	186:2
shuoyong	403:2
shusaku	196:2
shut	67:2`337:2
shuttle	206:2
shyam	187:7`109:4`135:2`188:2`366:1`365:1`364:1`145:1`428:1`138:1
siam	153:2
sibte	195:2
sica	417:2
sick	117:2
sickle	208:2
sicomp	153:2
siddhesh	145:5
siddiqui	138:2`120:2
sidebar	46:2`38:2
sides	335:4`51:2
sidhu	180:2
siemens	252:2`130:2
sieve	133:2`284:2
sift	116:2
sig	118:2
sigact	227:2
sigai	284:2
siggraph	281:2`335:2
sight	49:2
sighted	41:2
sighting	70:2
sights	389:2
sigkdd	188:2`13:2
sign	77:2`138:2`43:2
signal	340:13`306:4`204:3`194:3`8:3`295:3`67:1`433:1`138:1`213:1
signaling	296:5
signals	415:2`431:2`340:2
signed	69:1`300:1`363:1`252:1`323:1`342:1`71:1`270:1`331:1`423:1
significance	138:1`109:1`199:1`52:1`293:1`197:1`85:1
significant	111:2`14:2`98:1`116:1`117:1`48:1`96:1`115:1`113:1`217:1
significantly	96:3`430:3`409:1`146:1`53:1`267:1`336:1`254:1`156:1
signify	141:2
signs	252:6`300:1`415:1`112:1`94:1`441:1`410:1`323:1`342:1`331:1
sigops	89:2
sigpath	403:5
sigplan	227:5
sigsac	52:2`13:2`236:2
